text,amount,result,result_numeric,is_correct
Ищу квартиру для семьи из четырех человек на длительный срок,4,4,4,True
Нужна студия для проживания одного человека рядом с метро,1,1,1,True
Требуется двухкомнатная квартира для молодой пары,2,2,2,True
Снимем жилье для троих студентов на учебный год,3,3,3,True
Семья с двумя детьми ищет просторную квартиру,4,4,4,True
Один студент ищет комнату недалеко от университета,1,1,1,True
Пара с одним ребенком снимет квартиру на полгода,3,3,3,True
Четверо друзей ищут квартиру в центре,4,4,4,True
Молодая семья без детей ищет студию,2,2,2,True
Семья из пяти человек рассматривает дом за городом,5,5,5,True
Двое взрослых и двое детей хотят снять квартиру,4,4,4,True
Ищу жилье только для себя на месяц,1,1,1,True
Трое коллег снимут апартаменты рядом с офисом,3,3,3,True
Семья с тремя детьми ищет большую квартиру,5,5,5,True
Нужна квартира для двух человек и маленькой собаки,2,2,2,True
