text,count_adults,count_children,start_date,nights,price_per_day,remarks,pred_count_adults,pred_count_children,pred_start_date,pred_nights,pred_price_per_day,pred_remarks,count_adults_correct,count_children_correct,start_date_correct,nights_correct,price_per_day_correct
"Двое взрослых с одним ребенком заедут 12.06 на 5 ночей, бюджет до 4500 рублей в сутки, нужна детская кроватка.",2,1,2026-06-12,5,4500,нужна детская кроватка,2,1,2026-06-12,5,4500,нужна детская кроватка,True,True,True,True,True
"Семья с двумя детьми планирует заезд с 1 по 3 июля на 7-10 ночей, до 6000 в день, с кошкой.",2,2,2026-07-01,10,6000,с кошкой,2,2,2026-07-01,10,6000,с кошкой,True,True,True,True,True
"Один взрослый хочет студию с 20 августа на 3 ночи, цена до 3000 рублей, без особых пожеланий.",1,0,2026-08-20,3,3000,без особых пожеланий,1,0,2026-08-20,3,3000,без особых пожеланий,True,True,True,True,True
"Молодая пара заедет 05.09 на неделю, бюджет 4000-5500 рублей в сутки, нужен поздний выезд.",2,0,2026-09-05,7,5500,нужен поздний выезд,2,0,2026-09-05,7,5500,нужен поздний выезд,True,True,True,True,True
"Трое студентов ищут жилье с 10 октября на 14 дней, максимум 2500 за сутки, рядом с метро.",3,0,2026-10-10,14,2500,рядом с метро,3,0,2026-10-10,14,2500,рядом с метро,True,True,True,True,True
"Двое взрослых и двое детей хотят приехать 15.11 на 6 ночей, до 7000 рублей, нужна парковка.",2,2,2026-11-15,6,7000,нужна парковка,2,2,2026-11-15,6,7000,нужна парковка,True,True,True,True,True
"Семья с тремя детьми рассматривает даты 01.12-04.12 на 8-12 ночей, бюджет до 8000, нужна кухня.",2,3,2026-12-01,12,8000,нужна кухня,2,3,2026-12-01,12,8000,нужна кухня,True,True,True,True,True
"Один человек заедет 18 января на 2 ночи, цена 3500 рублей, тихий номер.",1,0,2027-01-18,2,3500,тихий номер,1,0,2027-01-18,2,3500,тихий номер,True,True,True,True,True
"Пара с младенцем хочет квартиру с 3 февраля на 4 ночи, до 5000 за день, нужна кроватка.",2,1,2027-02-03,4,5000,нужна кроватка,2,1,2027-02-03,4,5000,нужна кроватка,True,True,True,True,True
"Четверо коллег приедут 25 марта на 5 дней, бюджет до 6500 рублей, нужны раздельные кровати.",4,0,2027-03-25,5,6500,нужны раздельные кровати,4,0,2027-03-25,5,6500,нужны раздельные кровати,True,True,True,True,True
"Два взрослых с собакой заедут 09.04 на 3-4 ночи, 4500 рублей максимум.",2,0,2027-04-09,4,4500,с собакой,2,0,2027-04-09,4,4500,с собакой,True,True,True,True,True
"Мама с двумя детьми ищет жилье с 11 мая на 10 ночей, до 5500 в сутки, нужна стиральная машина.",1,2,2027-05-11,10,5500,нужна стиральная машина,1,2,2027-05-11,10,5500,нужна стиральная машина,True,True,True,True,True
"Пять туристов планируют приехать 02.06 на 6 ночей, цена до 9000 рублей, центр города.",5,0,2027-06-02,6,9000,центр города,5,0,2027-06-02,6,9000,центр города,True,True,True,True,True
"Семья без детей, двое взрослых, заезд 19 июля на 7 ночей, бюджет 4800, можно с котом.",2,0,2027-07-19,7,4800,можно с котом,2,0,2027-07-19,7,4800,можно с котом,True,True,True,True,True
"Отец и ребенок хотят апартаменты с 30.08 на 3 ночи, до 4200 рублей, рядом с парком.",1,1,2027-08-30,3,4200,рядом с парком,1,1,2027-08-30,3,4200,рядом с парком,True,True,True,True,True
