text;amount
Ищу квартиру для семьи из четырех человек на длительный срок;4
Нужна студия для проживания одного человека рядом с метро;1
Требуется двухкомнатная квартира для молодой пары;2
Снимем жилье для троих студентов на учебный год;3
Семья с двумя детьми ищет просторную квартиру;4
Один студент ищет комнату недалеко от университета;1
Пара с одним ребенком снимет квартиру на полгода;3
Четверо друзей ищут квартиру в центре;4
Молодая семья без детей ищет студию;2
Семья из пяти человек рассматривает дом за городом;5
Двое взрослых и двое детей хотят снять квартиру;4
Ищу жилье только для себя на месяц;1
Трое коллег снимут апартаменты рядом с офисом;3
Семья с тремя детьми ищет большую квартиру;5
Нужна квартира для двух человек и маленькой собаки;2
